A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
8.4378,1.4731,1.4731,5.9012,6.717,TL
8.646,2.2247,1.5111,5.9737,6.8226,TL
8.2568,1.4767,1.574,5.3862,6.3372,TL
8.2936,1.7196,2.1339,5.3534,6.0665,TL
8.4758,2.033,2.4585,5.4644,6.3163,TL
8.6435,1.4927,1.5585,5.8841,6.4069,TL
8.1087,1.4731,1.4767,6.0524,6.3304,TL
8.8566,1.626,1.7295,5.9277,6.5442,TL
8.8042,1.8383,2.6388,6.1285,6.4807,TL
9.0702,1.515,2.371,6.1053,6.6676,TL
9.2457,1.5956,1.5911,6.4939,6.8608,TL
9.5802,1.5346,1.6732,6.6219,7.1367,TL
8.063,1.507,1.696,4.993,6.5031,TL
8.0552,1.4767,1.6012,5.3387,6.0171,TL
8.1866,1.495,1.6317,5.6537,6.4241,TL
9.3199,1.4731,1.4767,6.9185,7.3067,TL
9.7016,1.7162,1.7679,7.2708,6.9367,TL
9.2798,1.7041,1.8816,6.6279,7.0739,TL
9.0339,1.9946,2.0984,6.7727,7.1711,TL
9.4653,2.0241,2.351,6.1768,6.8881,TL
9.6956,1.4731,2.2824,6.5575,7.1959,TL
8.4452,1.4767,1.4927,5.5137,6.3065,TL
9.726,1.4731,1.4749,7.5705,8.053,TL
9.0952,2.0551,2.1419,6.4939,6.6077,TL
8.4488,1.9336,2.338,5.557,6.3954,TL
8.819,1.6097,1.6434,5.8486,6.7403,TL
8.6506,1.8842,3.1982,5.7558,6.5499,TL
9.014,1.495,1.495,6.4975,7.1805,TL
9.3341,1.5046,1.9234,6.2849,7.1639,TL
9.5711,1.7575,1.9697,7.2628,7.0895,TL
9.399,1.8044,1.8778,6.8112,6.8837,TL
8.2713,1.8377,1.895,6.1869,6.8756,TL
9.238,1.8674,2.2456,6.2291,6.771,TL
9.2903,1.7176,2.6527,6.4571,6.9349,TL
9.1189,1.5519,1.507,5.7965,6.932,TL
8.5916,1.7241,2.1445,5.7562,6.3655,TL
8.482,1.4731,2.0152,5.9536,6.2479,TL
9.4282,1.7554,1.7701,5.8437,6.6334,TL
8.3728,1.5137,1.5495,5.8425,6.079,TL
9.6798,1.7188,2.0714,6.9262,7.245,TL
8.0525,1.6419,1.7549,4.8157,6.1247,TL
8.5237,1.495,1.7224,5.5125,5.986,TL
7.9544,1.5266,1.7251,4.9675,5.8224,TL
8.1367,1.5055,1.5046,4.9959,5.9775,TL
7.7279,1.4767,1.4731,4.8582,5.4648,TL
7.9302,1.7432,2.0737,4.8876,5.7895,TL
8.2702,1.5226,1.87,5.3363,6.0799,TL
8.5284,1.7457,1.9695,5.1066,6.024,TL
7.8027,1.4731,1.4731,4.0846,5.7275,TL
9.4918,1.7549,1.7552,7.3755,6.8818,TL
7.6807,2.085,2.0956,4.7504,5.5924,TL
9.5191,1.4731,2.8376,6.818,7.0165,TL
7.7098,1.5585,1.7077,4.7541,5.9794,Amg
7.2402,2.3278,2.3461,5.1555,5.9093,Amg
7.2607,1.7719,1.7512,5.2481,5.9291,Amg
8.8069,1.4862,1.4749,6.0761,6.6583,Amg
8.3745,1.8434,1.6145,6.4578,6.9298,Amg
8.5192,1.4998,1.5055,5.8409,6.2981,Amg
8.2364,1.6021,1.6266,5.8484,6.4251,Amg
8.5626,1.4731,1.4731,6.4359,6.1803,Amg
8.2005,2.3282,2.303,4.6079,7.2009,Amg
8.9486,1.4998,2.412,6.2267,7.2617,Amg
8.2317,1.6398,1.5855,5.7446,6.6961,Amg
7.5568,1.7512,2.1902,5.4717,6.4805,Amg
8.7087,1.4927,1.4767,5.7583,7.4091,Amg
8.9667,1.4731,1.4767,6.6263,7.0861,Amg
7.7907,1.4957,1.5266,5.6525,5.8827,BF
8.5854,1.4731,1.4731,6.3869,6.2611,BF
7.7872,1.5937,1.5113,4.9429,6.0268,BF
8.6285,1.6618,1.5267,6.7891,6.9818,BF
9.6724,1.4731,1.4731,7.2096,7.6801,BF
8.6498,1.4731,1.6665,6.0171,6.7566,BF
8.9252,1.5416,1.495,7.0984,7.8747,BF
8.096,1.6362,1.9252,5.822,6.2936,GP
7.8589,1.4731,1.4731,6.0065,6.3185,GP
7.4206,1.8668,1.9124,5.7209,6.3439,GP
8.3809,1.6567,2.0049,6.3466,6.5999,GP
8.4991,1.4731,1.4731,6.0715,6.61,GP
7.7091,2.2685,2.1884,4.8975,6.4538,GP
8.3637,1.7717,1.5878,6.1297,6.6475,GP
8.4185,1.4731,1.4731,6.4158,6.9047,GP
8.547,1.6753,1.7284,6.189,6.4099,GP
8.6061,1.9868,2.7456,6.1521,6.3287,GP
8.2469,1.4957,1.5252,5.7897,6.6494,GP
8.2467,1.4731,1.4731,5.829,6.6247,Str
8.1328,2.0069,2.1184,5.7411,6.3567,Str
8.4227,1.6248,1.7365,5.115,6.1943,Str
8.2859,1.4731,1.4767,5.6953,6.635,Str
8.5335,1.4731,1.4731,5.478,6.6471,Str
8.0925,1.6271,1.6119,5.5209,6.5237,Str
8.0521,1.5096,1.5104,5.3198,6.269,Str
7.5531,1.5422,1.5994,5.1599,6.261,Str
7.8188,1.4767,2.1282,4.5973,6.2162,Str
8.1141,1.4731,2.1322,4.4975,6.2099,Str
7.663,1.6486,2.787,4.8242,5.7122,Str
8.1516,1.7153,1.8096,5.478,6.0453,Str
8.0895,1.6709,1.7637,5.4283,6.5286,Str
7.5233,1.6898,1.8751,4.7573,5.9951,Str
7.7556,1.4767,1.4927,4.5116,6.0262,Str
8.1001,1.5709,1.5692,5.2152,6.2313,Str
7.8239,1.5821,1.6433,5.7464,6.5283,Str
8.2571,1.8248,2.069,5.7132,6.6316,Str
8.0523,1.7727,2.4591,5.5522,6.3479,Str
8.1251,1.6514,1.6457,5.6786,6.6392,Str
8.0523,1.7326,1.8742,6.0849,6.4748,Str
8.9606,1.495,1.4957,6.7058,7.2475,Str
8.2015,2.4703,2.5348,3.5593,4.5516,Str
8.5481,1.507,1.5778,6.3051,6.5679,Str
8.3528,1.7957,1.8972,6.2887,6.8763,Str
8.5012,1.4731,1.4731,5.922,6.3401,Str
7.4848,1.735,1.9275,4.8691,5.955,Str
7.5063,1.507,1.9747,4.5692,6.0372,Str
7.7325,1.8819,1.7949,4.898,6.3613,Str
7.9779,1.5221,3.282,4.8345,6.1957,Str
7.8193,1.5296,1.5096,4.4076,6.2824,Str
7.9359,1.6497,2.7163,5.4545,6.437,Str
8.2409,1.7167,2.2172,5.7327,6.0533,Str
8.1419,1.626,1.805,5.6226,6.1913,Str
8.5802,1.495,1.5104,5.6237,6.3103,Str
7.8644,1.5363,1.507,5.8191,6.4125,Str
8.1959,1.4731,1.4731,5.529,6.7424,Str
8.4227,1.4767,1.4731,6.1279,7.0322,Str
8.1136,1.6008,2.6329,5.8718,6.7411,Str
8.2556,1.6012,1.5632,5.5426,6.4938,Str
7.8638,1.5557,1.5096,5.3678,6.5464,Str
8.0052,1.5141,2.4053,5.059,5.9378,Str
8.0433,1.5279,1.5046,4.345,6.4877,Str
7.7649,1.9969,2.0122,5.0665,5.9589,Str
8.479,1.882,1.9336,5.7986,6.5827,Str
8.038,1.6977,1.6022,5.7291,6.7331,Str
8.5894,1.4731,1.4998,6.2209,6.748,Str
8.6125,1.495,1.5253,6.3655,7.0203,Str
7.3356,1.7147,2.9245,6.3515,7.5745,Cl
8.967,1.4957,1.4731,7.0992,8.0072,Cl
8.1277,1.5519,1.5096,5.4191,7.6099,Cl
9.424,1.4767,1.4927,6.6172,8.1423,Cl
9.4208,1.4767,1.4731,7.0007,8.2614,Cl
7.6509,1.793,1.9659,6.1469,6.673,Cl
8.762,1.5163,1.5734,7.0228,7.5052,Cl
8.4766,1.495,1.4927,6.3409,7.4098,Cl
8.4444,1.608,1.4927,6.3463,7.4031,Cl
7.9609,1.6164,1.4767,6.3588,7.2982,Cl
9.2676,1.4927,1.4731,7.0483,7.1454,Cl
8.0276,1.6642,1.8674,5.5781,6.5917,Cl
9.3746,1.4731,1.4767,7.3421,7.4262,Cl
9.4576,1.507,1.5868,6.9839,7.6407,Cl
8.2561,1.5411,1.8337,6.4943,5.86,Cl
8.2978,1.507,1.5422,6.8137,7.3873,Cl
8.7112,1.7301,1.5229,5.687,5.6993,Cl
8.4035,1.4731,1.4731,6.1891,5.9937,ET
7.0902,1.4767,1.4767,4.4635,4.9503,ET
10.5855,1.4731,1.4731,7.1434,7.9292,ET
8.9004,2.7315,2.3333,5.3616,6.0061,ET
9.3804,1.9767,2.1797,5.4122,6.697,ET
9.2815,1.507,1.5229,6.345,6.9946,ET
8.3117,1.8109,1.9171,6.2463,6.1278,ET
8.0996,1.7806,1.8003,5.3805,5.7411,ET
7.2157,1.5096,1.5519,4.0222,4.9928,Hy
7.4089,1.5247,1.7181,4.221,5.8492,Hy
7.8747,3.1068,3.0869,3.964,6.1542,Hy
7.9116,1.8035,2.3623,5.8411,5.6803,Hy
8.1285,1.4927,1.5268,6.7513,6.5499,Hy
8.0715,1.5778,1.6619,5.4802,6.0491,Hy
7.8876,1.7589,1.9022,6.0326,5.7399,Hy
8.278,1.4731,1.4731,5.2599,6.2593,Hy
8.6309,1.5479,1.7232,5.5179,5.7264,Hy
9.8723,1.7404,1.5104,8.1405,8.4989,SbT
10.1409,1.5997,1.5398,7.9357,7.659,SbT
10.0335,1.9513,1.8938,7.9075,7.5082,SbT
8.4867,1.9817,1.854,6.4625,6.5647,DT
9.4546,2.1989,1.8291,7.5834,7.0969,DT
8.8828,1.603,2.328,6.6629,6.9687,DT
8.7256,1.4767,1.7625,7.0503,6.5388,DT
8.32,2.2469,2.0174,6.5916,6.5306,DT
9.4372,1.9243,1.8121,8.3123,7.6015,DT
8.459,2.0308,2.0364,7.152,6.4226,DT
8.828,1.7444,1.6569,7.2442,6.9768,DT
9.7343,1.9573,2.3159,7.3668,7.8294,DT
9.1112,2.0514,2.0993,7.0651,6.786,DT
9.2773,1.4731,1.4731,7.0697,6.7934,DT
9.404,2.0027,2.1793,7.8583,7.4694,DT
9.9053,1.4731,1.4731,8.0864,7.3321,DT
10.8893,1.4957,1.4731,8.909,8.5602,DT
9.7814,1.4731,1.4731,7.5109,7.268,DT
9.8955,1.4731,1.4731,8.048,7.4467,DT
9.8218,1.503,2.5926,7.963,7.2192,DT
8.9341,1.618,1.6056,6.2078,6.2612,DT
9.4748,2.1135,2.3164,8.4984,6.6642,DT
10.3695,1.4731,1.4731,7.9253,7.7523,DT
11.167,1.6496,1.4927,9.069,8.4818,DT
10.2307,1.7582,1.7109,8.2124,7.6759,DT
8.6677,1.7544,1.7529,7.0108,6.9471,DT
10.0346,1.7595,1.5407,8.1763,8.5363,DT
8.8817,1.989,2.1716,7.5992,6.3397,DT
10.4467,1.503,1.5268,8.5911,8.1079,DT
9.276,1.5237,1.5226,7.6154,6.9994,DT
10.1182,1.4767,1.7353,8.6331,7.8271,DT
9.4479,1.4731,1.4731,7.7409,6.8226,DT
10.6391,1.9959,2.3193,8.6531,7.9291,DT
8.93,2.4649,2.2286,6.1681,5.5863,DT
8.2699,1.7649,1.8552,7.2781,6.3721,DT
8.948,1.6554,1.5398,6.8985,7.2167,DT
9.4451,1.4731,1.4731,7.4396,7.063,DT
8.9791,1.6175,2.9504,6.9893,6.6106,DT
9.4033,1.8785,1.7487,7.5901,7.792,DT
8.9036,1.9627,2.1387,7.6655,6.2732,DT
9.2428,1.4731,1.4731,7.5059,6.9001,DT
9.8062,1.4731,2.3043,7.9989,7.2361,DT
9.1404,1.4731,1.5096,6.8136,6.3099,DT
8.8441,2.4619,2.2771,7.1925,6.2624,DT
8.942,1.6949,1.5821,7.7829,7.1307,DT
9.2746,1.4731,1.5929,7.2562,6.7508,DT
8.7681,1.816,2.1026,6.8748,6.0823,DT
8.7218,1.935,2.0169,7.1188,6.3531,DT
9.4892,1.5737,2.0811,7.7079,7.4768,DT
8.9304,1.4731,1.4731,6.8157,6.6106,DT
9.3771,1.5283,1.7034,7.7503,7.5116,VT
8.9593,1.9601,1.6009,7.1306,7.3475,VT
9.3519,1.7444,1.495,6.8205,8.1785,VT
9.2808,1.9444,1.5447,7.6326,7.0893,VT
9.2732,1.8832,1.6135,8.0412,8.408,VT
9.1177,2.4872,2.3771,6.8157,7.4166,VT
9.3496,2.0304,3.0608,7.4748,8.3381,VT
9.4346,1.4731,1.4731,7.3235,6.983,MES
8.9341,2.0256,2.9313,6.6878,6.107,MES
9.1335,1.9714,1.7196,6.7744,6.5356,MES
9.524,1.4731,1.4767,7.0949,6.8911,MES
8.9611,1.495,1.5097,6.9165,6.2297,MES
9.7593,5.5687,1.5804,7.0867,7.9186,MES
9.2205,1.8011,1.5141,5.6984,7.6734,MES
8.7896,1.7749,1.9544,5.9142,6.5337,MES
8.7311,1.704,1.7351,6.8162,6.3804,MES
8.9521,1.4731,1.495,6.834,6.5442,MES
9.762,4.3981,1.5509,6.8045,7.1955,MES
9.0107,5.4376,1.9471,5.7267,6.6843,MES
8.7267,1.7095,1.644,5.9413,7.0847,MES
8.1813,1.4998,1.5097,5.9595,6.3866,MES
8.6094,1.7022,1.7919,5.6704,6.4675,MES
9.3257,10.1467,1.9302,6.5725,7.0389,MES
9.0734,11.2468,4.8556,7.61,6.9768,MES
9.4309,5.4194,1.5226,6.783,7.2334,MES
8.842,11.637,4.5994,7.166,6.8962,MES
8.9656,10.6977,3.6973,6.5564,6.1689,MES
9.1929,4.4608,1.9964,6.3231,6.7272,MES
7.7569,1.9496,1.9583,6.4053,5.5761,MES
8.3402,2.9673,2.5325,5.4887,5.0299,MES
9.0771,1.8077,1.772,7.5958,8.0692,MES
8.8522,1.8709,1.6114,7.4047,6.3981,MES
8.0941,2.0905,1.7524,3.9126,6.5189,MES
8.4196,1.7885,1.7582,6.7112,6.8574,MES
7.8047,2.1145,2.1493,3.1775,6.4569,MES
7.1481,1.6479,1.6558,5.3756,6.162,MES
6.9055,1.6828,1.6763,4.9394,5.5496,MES
7.186,1.8447,1.9348,5.8306,6.2786,MES
7.9912,1.8683,2.5688,5.2225,6.6029,MES
8.9459,1.8722,1.5411,5.1891,7.7217,MES
9.9701,1.5583,2.7054,7.6878,7.4117,MES
7.457,1.9774,1.8518,5.3129,6.3865,MES
8.3157,2.0101,1.7696,5.2455,7.2064,MES
6.884,1.8358,1.9169,4.5521,5.9552,MES
8.4732,2.0637,1.6907,4.7878,7.1032,MES
10.4022,1.9562,1.7804,7.7967,7.5041,MES
9.7131,1.8585,1.8729,7.2121,6.9029,MES
9.9008,1.8517,1.9349,7.9149,7.5748,MES
8.3047,1.8378,1.7814,6.6878,5.6387,MES
7.7883,1.9136,3.2954,5.5055,6.217,MES
9.2746,1.6198,1.4957,6.3452,6.9411,MES
8.6363,2.264,2.3471,6.2903,5.9337,MES
8.893,1.8143,1.6198,5.1713,6.943,MES
8.9732,1.4957,1.5328,6.6105,7.1431,MES
8.8663,1.4927,1.4998,6.7572,6.8032,MES
8.6433,1.6463,1.6646,6.0649,6.7468,CbCx
8.7025,1.8245,1.7122,6.0867,6.8234,CbCx
8.562,2.0393,1.9377,5.21,6.7475,CbCx
8.2946,1.7935,1.8307,5.5936,6.4861,CbCx
8.1415,1.5506,2.427,5.0643,6.3764,CbCx
7.7832,1.647,2.1172,5.3254,5.8966,CbCx
7.7117,1.9642,4.1994,4.7101,5.9293,CbCx
7.835,1.6556,2.0358,4.5402,5.8469,CbCx
7.8745,1.6501,2.1131,5.4334,6.1787,CbCx
7.3229,1.8991,3.2606,4.4386,5.7488,CbCx
7.8404,1.5921,1.5833,5.5302,5.9849,CbCx
7.1858,1.6356,3.1628,4.996,5.8195,CbCx
7.921,1.7696,4.1306,5.7807,6.4391,CbCx
8.0199,1.5645,2.5015,5.2442,6.0682,CbCx
7.6527,1.6137,1.6335,5.7425,6.0645,CbCx
8.0062,1.7119,1.8231,5.2686,6.2291,CbCx
7.917,1.7883,2.0127,5.063,6.1124,CbCx
7.7058,2.2191,2.1959,5.0325,6.1994,CbCx
7.4055,1.744,2.3571,4.9534,5.9038,CbCx
7.228,1.8036,2.0092,4.5868,5.7395,CbCx
7.6454,1.7199,1.788,5.2227,6.2729,CbCx
6.9854,1.5735,1.6646,4.5528,5.7275,CbCx
7.4997,1.7962,2.1084,4.4452,5.4926,CbCx
7.157,2.1101,2.1981,3.6149,5.6673,CbCx
7.4578,1.5675,1.8245,4.5583,5.9391,CbCx
7.1294,1.715,2.1884,4.8391,5.5532,CbCx
7.0168,1.6843,2.1853,4.6306,5.6953,CbCx
7.4418,1.8216,2.0199,4.6121,5.6071,CbCx
7.3799,1.5812,3.0119,4.4065,5.9034,CbCx
7.2545,1.6872,1.8684,4.7101,5.7592,CbCx
7.1858,1.5628,1.7713,4.4402,5.7077,CbCx
7.1609,1.5735,1.9566,4.4874,5.5415,CbCx
7.1521,1.6608,2.014,4.2049,5.9657,CbCx
7.069,1.7939,2.5664,4.6315,5.6564,CbCx
7.4534,1.5226,1.8434,4.5332,5.6786,CbCx
7.0858,1.701,2.0199,4.2915,5.7956,CbCx
7.6106,1.7166,1.9417,4.4045,5.6795,CbCx
7.0711,1.5104,1.5227,4.9212,5.8032,CbCx
7.2067,1.8051,2.0811,3.9374,5.6546,CbCx
7.1509,3.6161,2.4658,4.1987,5.4435,CbCx
7.4101,1.6902,2.0244,4.3651,5.8667,CbCx
10.7331,1.5695,1.6455,8.6539,7.8781,CbN
8.967,1.6091,1.7324,7.1358,6.8164,CbN
10.3889,1.6179,2.03,8.4845,7.7646,CbN
9.0439,1.7111,1.9188,7.2625,7.6334,CbN
9.525,1.5563,1.5161,7.4658,7.1246,CbN
9.7349,1.4767,1.4767,7.7496,7.7769,CbN
9.9453,1.7324,1.5097,7.066,7.7193,CbN
9.7339,1.7424,3.7852,7.2193,7.0867,CbN
8.9638,1.7939,1.6491,6.8594,6.9547,CbN
9.6956,1.6236,1.7949,7.52,7.2695,CbN
10.7624,2.7764,2.3308,8.07,7.477,CbN
8.9685,1.6799,1.8075,6.8243,7.268,CbN
10.2351,1.4859,3.3089,7.1944,7.2512,Bpons
11.1407,1.7858,1.7024,8.708,7.7444,Bpons
9.8416,1.8966,2.0086,7.4524,7.3235,Bpons
10.3363,1.6956,1.5431,7.3092,7.4109,Bpons
9.9618,1.9943,2.0719,7.7736,7.1197,Bpons
10.3115,1.6862,1.9348,7.9614,7.4489,Bpons
9.8268,1.8846,1.8335,7.0746,7.1904,Bpons
10.3199,1.5138,1.5296,7.529,7.2241,Bpons
10.4575,1.6472,1.6865,7.4453,7.3848,Bpons
10.285,1.6286,1.7019,7.654,7.2515,Bpons
10.1295,1.9359,1.7175,7.2243,9.0015,Bpons
9.7842,1.8841,2.1236,7.3755,7.0493,Bpons
9.8116,1.4957,2.3228,7.0711,6.8069,PTg
10.5137,1.4998,1.5583,7.6303,8.0087,PTg
9.6402,1.4998,2.0168,7.158,6.9594,PTg
9.7131,1.5329,1.5778,6.8894,6.7213,PTg
8.7676,1.8203,1.5227,6.0508,7.123,PTg
9.1929,6.8931,2.1752,6.4326,6.7666,PTg
9.7429,1.7451,2.5352,6.6113,6.9685,PTg
8.7713,2.2129,2.0573,6.0817,6.7134,PTg
7.9599,2.0732,1.9712,5.059,6.8195,PTg
8.1339,2.8952,3.1498,5.5355,6.9768,PTg
8.8797,2.1729,2.0287,6.2952,7.1152,PTg
8.1227,13.3281,7.1327,5.6714,5.7825,PTg
7.9306,13.9049,8.5385,4.9441,5.6908,PTg
8.3043,13.9801,8.2401,5.7123,5.9624,PTg
8.17,13.8999,7.742,5.5376,5.6866,PTg
9.1275,5.3744,1.9755,6.2722,6.835,PTg
9.4094,5.0962,1.9255,6.5657,7.6322,PTg
9.3822,9.2804,2.0695,7.0331,7.0775,PTg
9.069,9.6414,3.8161,6.3607,7.1554,PTg
9.1102,9.4741,4.5664,6.1993,6.8189,PTg
9.2746,8.9148,2.5338,6.7385,7.0348,PTg
9.3247,1.5253,1.507,6.6463,6.5066,PTg
9.9499,1.9713,1.6968,7.1641,7.0918,PTg
9.1667,2.0724,2.1362,7.1484,6.8253,PTg
8.7023,2.1303,2.1003,7.166,6.8367,PTg
8.875,1.7241,3.0096,7.0957,7.1438,PTg
9.3189,1.9178,1.9619,7.279,6.9429,PTg
9.5348,1.9286,1.9716,7.1737,7.4322,PTg
10.4591,1.5549,1.7685,7.3285,7.5758,PTg
10.3932,4.8946,1.4731,6.7494,7.2672,PTg
10.9396,1.4767,2.4321,7.3915,7.5553,PTg
9.8023,1.9944,1.9846,7.5455,7.345,PTg
9.4588,2.1894,1.618,5.8718,8.1231,PTg
9.6455,2.0565,2.0099,7.0929,7.5741,PTg
10.2412,2.2942,1.4731,6.5946,7.5753,PTg
9.022,2.85,3.9759,6.0685,7.163,PTg
9.2624,1.8052,1.5046,6.4848,7.6703,PTg
9.414,3.7045,1.6798,6.2688,7.4523,PTg
9.9359,2.3234,1.5221,7.4286,7.7087,PTg
9.1177,1.7674,1.7401,6.6656,7.1363,PTg
10.1884,2.4369,1.8578,7.6344,7.3564,MY
10.0907,1.4767,1.495,7.5094,6.8661,MY
9.2199,1.7036,2.686,7.5962,7.3336,MY
10.2385,1.4998,1.503,7.4885,7.1449,MY
10.2298,1.4927,1.503,7.2414,7.2151,MY
9.5563,1.4767,1.4998,7.3496,7.0567,MY
9.7629,2.0808,2.0897,7.0726,6.7801,MY
10.3244,1.5247,1.6844,7.4557,7.2324,MY
10.1049,1.4731,1.4957,7.3966,8.0023,MY
8.3964,1.4957,1.495,6.2308,6.5575,MY
10.4664,1.503,1.4957,7.2289,8.5618,MY
9.6694,1.7049,1.8993,6.8984,7.4119,MY
10.5741,1.7401,1.8239,7.4322,7.1508,MY
10.1988,1.5831,1.7193,7.5324,7.1073,MY
8.8825,1.6987,1.7998,7.0633,6.8458,MY
8.9072,1.956,1.5519,7.0094,7.9591,MY
9.2815,1.9928,1.8748,6.8451,7.0299,MY
9.2694,1.6685,1.9932,7.268,7.8301,MY
9.5543,1.6166,2.3699,7.0513,7.1944,MY
7.7963,6.1722,1.4957,4.875,5.1917,MY
8.3043,1.7931,1.8489,5.7372,6.8681,MY
7.8612,5.6607,1.6092,5.9006,6.483,MY
7.9069,5.9268,1.6185,5.0352,4.9772,MY
6.7235,5.6038,1.515,5.6956,6.5398,MY
8.7298,2.6989,1.5519,6.5926,7.164,MY
8.1043,1.8236,2.5225,5.5532,7.2301,MY
9.0757,1.7152,1.5046,6.5936,7.2083,MY
8.4013,2.4733,2.5301,6.7582,6.7018,MY
6.1966,1.8502,1.5226,5.2394,7.2656,MY
8.9972,1.6266,1.5247,7.0493,6.9463,MY
8.1607,1.861,1.7435,5.5393,6.7048,MY
8.577,1.8386,1.5088,5.1177,6.9129,MY
8.7669,1.9156,1.6231,7.2448,6.9833,MY
8.7741,1.9415,1.5677,5.7694,7.3258,MY
9.7055,1.4767,1.4731,6.5337,6.9027,MY
8.5574,1.6486,1.5632,6.555,6.7445,MY
8.2719,1.7758,1.7104,5.8948,6.4929,MY
9.3153,1.8193,1.4918,6.3484,7.1038,MY
9.0396,1.8683,1.503,6.53,7.0768,MY
8.1462,1.7939,1.7676,5.9633,6.7519,MY
8.6031,2.0915,2.0474,6.7243,6.3809,MY
8.8135,4.872,2.4048,7.3178,6.8852,MY
8.0278,2.0655,1.961,7.4142,7.7513,MY
8.7787,2.1869,2.3699,6.7219,6.5163,MY
8.6768,4.8335,2.1063,6.7592,6.9827,MY
8.0192,2.1097,3.3579,7.9201,8.0204,MY
10.2827,3.7476,1.4731,6.7243,6.8557,MY
10.1579,1.5431,1.5328,7.0177,7.003,MY
10.227,2.8448,1.506,7.1316,7.0404,MY
7.9531,3.0525,1.835,6.9751,7.0762,MY
9.0429,2.1684,2.2107,7.5961,6.3765,MY
8.3162,2.096,3.5538,7.6776,7.2181,MY
8.1839,6.0836,2.1902,6.8289,6.3826,MY
9.0041,2.1612,2.2707,6.6201,6.7908,MY
9.6029,5.5758,1.7175,7.1678,6.4264,MY
9.3919,1.7625,1.6685,6.4143,7.1188,MY
8.9913,1.9247,1.621,5.4456,6.0262,MY
8.6492,1.9444,1.9003,6.1917,7.6566,MY
8.8135,1.9314,1.828,5.8831,8.1544,MY
10.5366,1.5226,1.4731,7.2414,7.3702,MY
10.5786,1.495,1.503,8.0128,7.6429,MY
8.6193,1.7858,1.8368,7.113,6.9645,MY
8.5866,2.0956,2.1467,6.7316,7.0641,MY
8.5665,1.9464,2.5958,6.8885,7.2589,MY
9.0058,1.5046,1.5055,6.9471,7.0969,MY
8.7751,1.9267,1.6271,5.9128,8.7836,MY
10.1476,1.503,1.4767,7.291,6.8744,MY
8.9843,1.6827,2.2595,6.884,7.0092,MY
8.4588,1.919,2.2302,7.1187,7.2981,MY
9.1503,1.6143,1.4998,5.1377,6.8331,MY
8.2807,1.9184,1.9328,6.913,6.3837,MY
10.0462,4.4763,1.5097,6.8173,7.0629,MY
9.6692,2.6854,1.5097,6.519,7.2126,MY
8.0056,2.0446,2.1491,5.4093,7.6407,MY
9.4672,4.5265,1.6283,6.5406,6.7098,MY
10.0,1.5226,1.4731,6.9392,7.135,MY
6.6923,1.515,1.5296,3.8396,5.4919,WM
5.6616,1.9036,2.1534,2.0558,4.0142,WM
6.154,1.6949,2.6141,2.2341,4.6432,WM
8.1607,1.4749,1.5573,4.8992,6.2886,WM
8.8446,1.4737,1.4284,6.1476,6.6407,FL
8.9224,1.4357,1.7056,5.9554,6.4346,FL
8.6052,1.4283,1.6346,5.8985,6.3372,FL
9.0677,1.7044,1.6648,6.1104,6.8234,FL
8.4174,1.391,1.7952,5.4803,5.9908,FL
8.7865,1.279,1.3788,5.7639,6.5275,FL
8.3665,1.4518,1.8073,5.0694,6.0683,FL
8.2433,1.279,1.4679,5.2773,5.9775,FL
9.3467,1.279,1.3495,6.4041,6.7276,FL
9.026,1.279,1.5806,6.1388,6.6783,FL
9.0364,1.3186,2.4478,6.1139,6.8431,FL
9.1079,1.279,1.4287,6.3159,6.797,FL
8.937,1.9878,1.3735,6.0807,6.609,FL
8.3925,1.5215,1.8654,5.0223,6.1081,FL
8.5492,1.4058,1.5634,5.4955,6.565,FL
8.1895,2.0517,1.558,5.4954,6.0808,FL
8.8724,1.3334,2.3637,4.7923,6.5935,FL
8.4635,1.4483,1.6747,5.6246,6.1457,FL
8.6138,1.3358,1.4795,5.539,6.3377,FL
8.0048,1.4421,1.5538,5.0385,5.8383,FL
9.3285,1.595,1.8793,6.7358,7.2594,FL
9.3832,1.279,1.7841,6.8747,6.8866,FL
9.1277,1.3284,1.4581,6.332,6.5645,FL
8.7304,1.3983,2.3354,6.0808,6.438,FL
9.5096,1.3202,1.451,6.2898,6.7772,FL
9.0854,1.3479,1.6645,5.7563,6.8611,FL
9.0929,1.3276,1.8567,5.856,7.0095,FL
9.3027,2.2687,1.5614,6.185,6.6258,FL
9.1366,1.4013,1.4609,6.1518,6.718,FL
9.2106,1.3724,1.5828,6.0004,6.655,FL
8.7959,1.4038,2.7649,5.6545,6.5738,FL
9.5,1.3326,1.42,6.2694,7.0491,FL
9.0941,1.279,1.3495,5.8469,6.3186,FL
8.543,1.3334,2.5777,5.3707,6.1531,FL
9.4101,1.279,1.3925,6.358,7.1296,FL
8.5586,1.3442,1.4015,5.272,6.1305,FL
8.2236,1.3834,1.6739,5.5213,6.2749,FL
9.1392,1.279,1.9422,6.4968,6.8491,FL
8.831,1.3282,3.2945,5.9959,6.4595,FL
9.0247,1.9864,2.4312,5.8329,6.7294,FL
9.1411,1.3817,1.6261,6.0797,6.9351,FL
9.082,2.3609,2.2387,6.1488,6.803,FL
8.8767,1.279,1.9462,5.6833,6.7902,FL
8.3489,1.3617,1.5459,5.6366,6.1291,FL
