A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
9.1832,1.4767,1.503,6.3948,7.003,FL
9.8539,1.8587,2.5348,6.8002,7.1713,FL
10.0386,1.9551,2.0834,6.9386,7.1742,FL
9.399,1.4927,2.0085,6.1558,6.7786,FL
9.451,1.5239,1.577,6.6321,7.1052,FL
10.2328,1.5111,1.5809,7.1197,7.7128,FL
9.4938,1.8243,2.0578,7.1563,7.3246,FL
9.747,1.507,1.5774,6.8366,6.8509,FL
10.0737,1.495,1.6202,6.5859,7.1461,FL
8.9984,1.4731,1.6287,5.9287,6.6789,FL
9.139,1.6486,1.986,6.2947,7.2026,FL
8.8567,1.5859,1.8693,6.2219,6.6089,FL
7.855,2.0108,1.4767,5.3711,6.2767,FL
8.7785,1.59,1.835,5.8271,6.4292,FL
8.5825,1.4731,1.4731,5.6145,6.4249,FL
8.6076,1.515,1.5226,5.857,6.2928,FL
8.839,1.9941,2.1303,6.0379,6.5398,FL
9.28,1.4731,1.515,6.7454,7.1362,FL
9.698,1.6133,3.5171,6.5473,7.3756,FL
9.1522,1.5607,1.8209,6.2355,6.9687,FL
9.1791,1.6087,1.6425,6.9245,7.2311,FL
9.0173,2.092,2.228,5.6028,6.8185,FL
8.8673,1.5096,1.6862,5.6514,6.6408,FL
8.9781,1.5669,1.5227,6.1368,6.8251,FL
9.1842,2.2239,2.4622,5.7034,6.3868,FL
9.1196,1.495,1.7829,5.9594,6.8022,FL
8.929,1.5408,1.8375,5.9202,6.8437,FL
9.5299,1.4927,1.495,6.8689,6.9638,FL
9.0882,1.4767,1.6493,6.1443,6.6319,FL
8.9709,1.495,1.6168,6.4178,6.9471,FL
8.6776,2.0142,2.1543,6.209,6.4815,FL
8.8297,1.8899,2.2225,5.8995,6.4103,FL
8.8531,1.4767,1.5501,6.1986,6.529,FL
8.8119,1.5304,1.7386,5.7663,6.3794,FL
8.8387,1.5132,1.6925,6.2655,6.9853,FL
8.4172,1.4767,1.4767,5.6953,6.2488,FL
9.1636,1.9514,3.6786,6.813,6.8638,FL
9.307,1.4731,1.4957,6.3648,6.8377,FL
9.3348,1.625,1.6215,6.6676,6.9692,FL
8.9923,1.8742,2.1989,6.6053,6.72,FL
9.211,1.7496,1.8286,6.4807,7.2305,FL
9.0209,2.023,2.2517,6.756,6.8477,FL
8.4464,1.4767,1.4767,5.4969,6.1306,FL
8.7556,1.4731,1.5696,5.2947,6.2761,FL
8.9781,1.9292,1.8456,6.4436,6.9911,FL
9.0334,1.495,1.4731,6.1558,6.7618,FL
9.5322,1.5524,2.717,6.3535,7.0707,FL
8.6485,1.7487,1.8559,5.8743,6.6735,FL
8.1495,1.4998,1.4767,5.3071,6.231,Ins
8.8566,1.683,1.8271,6.1986,6.5259,Ins
8.1914,1.5296,1.6563,5.5041,6.1842,Ins
9.334,1.6479,1.5903,6.2287,7.0078,Ins
8.9367,1.6746,1.6128,6.2843,6.0685,Ins
8.94,1.6707,1.5829,5.994,6.9685,Ins
8.6841,1.5901,1.5612,5.9242,6.5234,Ins
8.4759,2.0054,1.989,5.5805,6.4965,Ins
8.5624,1.4767,1.687,5.1521,5.9559,Ins
7.8205,1.5187,1.8906,4.8061,5.9532,Ins
7.874,1.9517,2.2243,4.9656,6.1277,Ins
8.3955,1.4731,1.5163,5.4292,6.2216,Ins
8.2685,1.5408,1.495,5.5362,6.1929,CgG
8.6358,1.4731,1.4731,6.1233,6.3279,CgG
8.2349,1.8789,2.0615,5.7186,6.3153,CgG
7.7641,1.507,2.4366,5.1214,5.8856,CgG
8.4378,1.4731,1.5097,6.051,6.339,CgG
8.0389,1.495,2.9711,4.9745,5.899,CgG
8.7141,1.495,1.5096,5.5799,6.3593,CgG
8.1847,1.5087,1.529,5.2284,6.0396,CgG
8.2738,1.4927,1.5226,5.7411,6.3272,CgG
7.7803,1.657,1.5872,5.8603,6.0349,CgG
8.6214,1.507,1.5293,5.7908,6.7893,CgG
8.9472,1.6493,1.9494,5.5508,6.62,CgG
8.7175,1.8211,1.8312,6.1074,6.4755,CgG
8.9876,1.618,1.6542,6.1651,7.0177,CgG
8.9215,1.7367,2.098,6.4421,6.69,CgG
8.9367,1.5652,2.2731,5.7394,6.698,CgG
8.7746,1.7415,2.6857,6.1247,6.5844,CgG
8.7917,1.5226,1.7459,5.5619,6.5889,CgG
9.4923,1.8725,1.9759,6.8881,6.9409,CgG
9.7628,1.507,2.3695,6.8133,7.2029,CgG
7.6169,1.5268,1.8757,4.6723,5.6122,CgG
9.6854,1.4731,1.7058,6.8858,7.1102,HiF
10.3535,1.6093,1.4731,7.3456,7.8416,HiF
10.3828,1.4731,2.1018,7.5953,7.9943,HiF
9.8218,1.4731,1.5096,6.9235,7.7087,HiF
9.682,1.4731,1.4731,6.829,7.1999,HiF
8.8012,2.3815,3.608,4.9633,6.4107,HiF
9.5778,1.5112,2.9635,6.4628,7.69,HiF
9.4233,1.507,2.3461,7.1071,7.7377,HiF
9.5293,1.4749,2.4372,6.1622,7.0569,HiF
9.7107,1.4749,1.4749,7.186,7.6342,HiF
8.4073,1.5891,1.7612,5.707,6.6395,HiF
7.9536,1.4927,1.4957,5.9153,6.7104,HiF
8.2301,2.1349,2.3533,5.771,5.888,HiF
8.5615,1.4767,1.4731,6.1681,6.7453,HiF
8.2637,1.4731,2.2191,5.5022,6.3005,HiF
7.378,2.2242,2.3362,4.8401,5.6816,HiF
8.1509,1.5848,2.8849,6.185,6.7887,HiF
8.0951,1.4731,1.7648,5.1614,6.5051,HiF
8.0376,1.4731,1.4731,5.5041,6.3073,HiF
7.803,1.495,1.4927,5.9346,6.1798,HiF
7.8357,1.6991,1.9406,5.2894,6.7516,HiF
8.4451,1.4731,1.8143,6.1316,6.3766,HiF
9.1558,1.4957,1.4957,7.4016,7.0318,HiF
8.7953,1.5096,1.5572,6.9707,6.6445,HiF
8.5812,1.5163,1.5661,6.7655,6.7584,HiF
8.3776,1.5279,1.8016,6.7871,6.5184,HiF
7.9261,1.8551,1.8347,6.2118,6.1037,HiF
8.2874,1.6246,2.0562,6.0527,6.1953,HiF
8.599,1.4957,2.4226,6.7013,6.3769,HiF
7.8761,1.9107,1.8972,5.4225,6.3419,HiF
9.2132,1.4927,1.4731,5.6739,7.8153,HiF
9.4294,1.7721,1.6922,6.331,8.7073,HiF
9.2746,1.4957,1.4767,7.4364,6.9185,HiF
8.5654,1.5231,1.608,7.1399,6.5997,HiF
8.9069,1.4731,1.8755,7.0949,7.053,HiF
7.9429,1.8962,1.9683,6.1712,5.9052,HiF
8.7738,1.5818,1.6577,6.3254,7.0849,HiF
8.6911,1.6896,1.7691,6.5278,6.8309,HiF
8.7739,1.4927,2.217,6.6694,6.4008,HiF
8.3776,1.6417,2.2336,6.4951,6.6334,HiF
8.6914,1.4731,1.4731,5.9318,7.4986,HiF
9.427,1.4731,1.4731,6.7666,7.1793,HiF
8.9432,1.495,1.4927,7.4872,7.0303,HiF
8.9706,1.4998,1.5138,6.8907,7.0947,HiF
8.9958,1.4767,1.4767,6.3995,7.0335,HiF
8.2849,1.9746,1.9319,6.703,6.9184,HiF
9.4696,1.751,1.5221,6.524,7.113,HiF
8.3881,1.7006,1.7791,5.5864,6.7443,HiF
8.9859,1.4731,1.4731,6.6665,6.9926,HiF
9.3486,1.5227,1.4927,7.1316,7.817,HiF
8.833,1.503,1.5396,7.5324,7.2015,HiF
8.4978,1.4731,1.4731,6.3901,6.5732,HiF
8.4365,1.8388,3.4579,6.7904,6.6302,HiF
